종목코드,종목명,종가,대비,등락률,상장시가총액
"008870","금비","54600","-400","-0.73","54600.0"
"009140","경인전자","19400","-160","-0.82","30473.0"
"009180","한솔로지스틱스","2240","-15","-0.67","63069.0"
"009190","대양금속","1700","-51","-2.91","72012.0"
"009200","무림페이퍼","2085","-70","-3.25","86755.0"
"009310","참엔지니어링","1310","-39","-2.89","22235.0"
"009320","아진전자부품","1008","6","0.60","49694.0"
"009440","KC그린홀딩스","756","0","0.00","17569.0"
"009460","한창제지","728","-22","-2.93","43438.0"
"009770","삼정펄프","26550","-100","-0.38","66374.0"
"009810","플레이그램","306","-2","-0.65","46478.0"
"010040","한국내화","2390","-25","-1.04","98150.0"
"010400","우진아이엔에스","2670","0","0.00","20351.0"
"010420","한솔PNS","1890","1","0.05","38732.0"
"010600","웰바이오텍","545","0","0.00","49553.0"
"010640","진양폴리","4080","-20","-0.49","40800.0"
"010660","화천기계","4195","-180","-4.11","92290.0"
"010960","삼호개발","3460","20","0.58","86500.0"
"011090","에넥스","758","3","0.40","45474.0"
"011230","삼화전자","4280","-45","-1.04","72344.0"
"011300","성안머티리얼스","467","-27","-5.47","72673.0"
"011390","부산산업","98600","800","0.82","104122.0"
"011420","갤럭시아에스엠","2300","-55","-2.34","63364.0"
"011700","한신기계","2990","45","1.53","97014.0"
"011810","STX","3225","-70","-2.12","100033.0"
"012160","영흥","508","1","0.20","51466.0"
"012170","아센디오","4025","-60","-1.47","43767.0"
"012200","계양전기","1461","-25","-1.68","39773.0"
"012280","영화금속","864","-2","-0.23","44638.0"
"012600","청호ICT","198","-2292","-92.05","9234.0"
"012690","모나리자","2790","-25","-0.89","102034.0"
"013000","세우글로벌","1185","-18","-1.50","34015.0"
"013520","화승코퍼레이션","1965","56","2.93","98351.0"
"013700","까뮤이앤씨","1163","21","1.84","69490.0"
"013870","지엠비코리아","3890","-160","-3.95","74191.0"
"140910","에이리츠","3130","0","0.00","13969.0"
"145270","케이탑리츠","941","-7","-0.74","45225.0"
"204210","스타에스엠리츠","2035","0","0.00","15928.0"
"338100","NH프라임리츠","4600","0","0.00","85836.0"
"357250","미래에셋맵스리츠","2795","-5","-0.18","69861.0"
"357430","마스턴프리미어리츠","1462","-1","-0.07","44599.0"
"481850","신한글로벌액티브리츠","1553","-6","-0.38","67521.0"
"000040","KR모터스","406","-15","-3.56","24414.0"
"000180","성창기업지주","1410","-5","-0.35","98350.0"
"000220","유유제약","4530","-90","-1.95","77157.0"
"000230","일동홀딩스","5980","-90","-1.48","69012.0"
"000590","CS홀딩스","75900","300","0.40","87625.0"
"000650","천일고속","40100","50","0.12","57312.0"
"000760","이화산업","10830","-20","-0.18","30324.0"
"000850","화천기공","29350","-350","-1.18","64570.0"
"000890","보해양조","516","-14","-2.64","71786.0"
"000910","유니온","4820","-20","-0.41","75248.0"
"000950","전방","23400","-2050","-8.06","39312.0"
"001070","대한방직","5230","-30","-0.57","27719.0"
"001140","국보","2110","0","0.00","33457.0"
"001210","금호전기","1186","-19","-1.58","73003.0"
"001260","남광토건","8100","-100","-1.22","79644.0"
"001290","상상인증권","506","2","0.40","54819.0"
"001380","SG글로벌","1750","-54","-2.99","78687.0"
"001420","태원물산","4070","110","2.78","30932.0"
"001470","삼부토건","347","0","0.00","79700.0"
"001550","조비","12000","-150","-1.23","62307.0"
"001560","제일연마","9390","140","1.51","92961.0"
"001620","케이비아이동국실업","514","-9","-1.72","57205.0"
"001770","SHD","16220","20","0.12","19705.0"
"002070","비비안","1019","-18","-1.74","31715.0"
"002140","고려산업","2795","15","0.54","69706.0"
"002210","동성제약","2780","0","0.00","72561.0"
"002220","한일철강","1982","28","1.43","52914.0"
"002360","SH에너지화학","441","-13","-2.86","49010.0"
"002410","범양건영","1935","0","0.00","53173.0"
"002420","세기상사","5060","-40","-0.78","30208.0"
"002460","HS화성","9980","-140","-1.38","101297.0"
"002600","조흥","157400","-1700","-1.07","94440.0"
"002690","동일제강","1433","35","2.50","29090.0"
"002720","국제약품","4555","-105","-2.25","96383.0"
"002760","보락","1089","-33","-2.94","65231.0"
"002820","SUN&L","2995","0","0.00","37761.0"
"002870","신풍","1030","2","0.19","36007.0"
"002880","대유에이텍","1008","30","3.07","47118.0"
"002920","유성기업","1962","-10","-0.51","50909.0"
"002990","금호건설","2815","-10","-0.35","104146.0"
"003010","혜인","4950","-70","-1.39","62928.0"
"003080","SB성보","2560","0","0.00","51251.0"
"003560","IHQ","10760","0","0.00","64669.0"
"003680","한성기업","5080","20","0.40","31544.0"
"003780","진양산업","5640","-40","-0.70","73320.0"
"004060","SG세계물산","328","-5","-1.50","66395.0"
"004100","태양금속","2755","30","1.10","101109.0"
"004270","남성","1085","-15","-1.36","39290.0"
"004410","서울식품","155","-3","-1.90","58087.0"
"004440","삼일씨엔에스","4330","-30","-0.69","55129.0"
"004450","삼화왕관","36100","-1350","-3.60","77773.0"
"004540","깨끗한나라","2260","-60","-2.59","84164.0"
"004720","팜젠사이언스","3935","-100","-2.48","71622.0"
"004770","써니전자","1700","-40","-2.30","62395.0"
"004830","덕성","5970","-80","-1.32","93610.0"
"004840","DRB동일","4280","-75","-1.72","85300.0"
"004870","티웨이홀딩스","663","-11","-1.63","75027.0"
